file_size,pipe_count,redirect_count,curl_wget_count,nc_netcat_count,bash_sh_count,eval_exec_count,reverse_shell,base64_encoding,credential_access,ssh_usage,cron_systemd,sudo_usage,hidden_files,has_ip_address,has_port,script_length,line_count,comment_ratio,semicolon_count,ampersand_count,hex_encoding,long_lines,label,path
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_70.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_47.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_21.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_43.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_63.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_31.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_20.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_0.sh
142,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,142,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/lateral_20.sh
109,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,109,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/lateral_21.sh
90,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_34.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_43.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_41.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_56.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_83.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_30.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_48.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_10.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_73.sh
148,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,148,3,1.0,3,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_64.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_40.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_85.sh
106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106,4,0.75,3,0,0,0,1,synthetic-malware/lotl-attacks/discovery_26.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_66.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_75.sh
109,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,109,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/lateral_45.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_87.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_8.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_58.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_46.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_77.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_34.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_48.sh
88,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,88,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_6.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_68.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_76.sh
165,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,165,7,0.42857142857142855,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_28.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_27.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_2.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_22.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_42.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_93.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_26.sh
142,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,142,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/lateral_24.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_85.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_44.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_35.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_46.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_2.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_88.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_87.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_32.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_19.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_22.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_95.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_78.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_15.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_80.sh
90,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_41.sh
142,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,142,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/lateral_44.sh
106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106,4,0.75,3,0,0,0,1,synthetic-malware/lotl-attacks/discovery_22.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_80.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_84.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_52.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_57.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_22.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_45.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_97.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_51.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_14.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_3.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_33.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_29.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_57.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_50.sh
90,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_56.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_29.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_47.sh
85,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,85,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_28.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_49.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_47.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_16.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_39.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_25.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_45.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_30.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_9.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_16.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_54.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_82.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_35.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_84.sh
148,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,148,3,1.0,3,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_29.sh
90,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_6.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_26.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_28.sh
103,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_94.sh
90,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_26.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_62.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_85.sh
148,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,148,3,1.0,3,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_49.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_31.sh
90,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_47.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_79.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_37.sh
109,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,109,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/lateral_43.sh
109,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,109,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/lateral_5.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_0.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_61.sh
106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106,4,0.75,3,0,0,0,1,synthetic-malware/lotl-attacks/discovery_28.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_51.sh
90,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_78.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_7.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_92.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_87.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_76.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_6.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_40.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_20.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_66.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_19.sh
91,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,91,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_1.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_75.sh
109,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,109,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/lateral_9.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_30.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_56.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_35.sh
109,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,109,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_33.sh
123,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,123,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_28.sh
148,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,148,3,1.0,3,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_69.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_81.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_85.sh
173,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,173,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_73.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_0.sh
129,2,2,0,1,2,1,0,0,0,0,0,0,0,1,0,129,3,1.0,2,1,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_17.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_90.sh
90,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_66.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_49.sh
106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106,4,0.75,3,0,0,0,1,synthetic-malware/lotl-attacks/discovery_18.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_80.sh
148,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,148,3,1.0,3,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_59.sh
165,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,165,7,0.42857142857142855,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_46.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_53.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_23.sh
90,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_5.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_71.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_45.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_49.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_1.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_3.sh
109,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,109,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/lateral_1.sh
112,0,4,0,0,4,1,1,0,0,0,0,0,1,1,0,112,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/persistence_59.sh
165,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,165,7,0.42857142857142855,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_73.sh
92,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,92,3,1.0,0,2,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_80.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_75.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_23.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_45.sh
